		 Direction,	 < 0.5 m/s,	 0.5-2 m/s,	 2-4 m/s, 	 4-6 m/s,	 6-8 m/s,	 8-10 m/s,	 > 10 m/s,	 Total 
		 N, 		 1.81, 		 1.78, 		 0.16, 		 0.00, 		 0.00, 		 0.00, 		 0.00, 		 3.75
		 NNE, 		 0.62, 		 1.09, 		 0.00, 		 0.00, 		 0.00, 		 0.00, 		 0.00, 		 1.71 
		 NE, 		 0.82, 		 0.82, 		 0.07, 		 0.00, 		 0.00, 		 0.00,		 0.00, 		 1.71 
		 ENE, 		 0.59, 		 1.22, 		 0.07, 		 0.00, 		 0.00, 		 0.00, 		 0.00, 		 1.88 
		 E, 		 0.62, 		 2.20, 		 0.49, 		 0.00, 		 0.00, 		 0.00, 		 0.00, 		 3.32 
		 ESE, 		 1.22, 		 2.01, 		 1.55, 		 0.30, 		 0.13, 		 0.00, 		 0.00, 		 5.20 
		 SE, 		 1.61, 		 3.06, 		 2.37, 		 2.14, 		 1.74, 		 0.39, 		 0.13, 		 11.45 
		 SSE, 		 2.04, 		 3.42, 		 1.97, 		 0.86, 		 0.53, 		 0.49, 		 0.00, 		 9.31 
		 S, 		 2.66, 		 4.74, 		 0.43, 		 0.00, 		 0.00, 		 0.00, 		 0.00, 		 7.83 
		 SSW, 		 2.96, 		 4.14, 		 0.26, 		 0.00, 		 0.00, 		 0.00, 		 0.00, 		 7.37 
		 SW, 		 2.53, 		 4.01, 		 1.22, 		 0.49, 		 0.13, 		 0.00, 		 0.00, 		 8.39 
		 WSW, 		 1.97, 		 2.66, 		 1.97, 		 0.79, 		 0.30, 		 0.00, 		 0.00, 		 7.70 
		 W, 		 1.64, 		 1.71, 		 0.92, 		 1.45, 		 0.26, 		 0.10, 		 0.00, 		 6.09 
		 WNW, 		 1.32, 		 2.40, 		 0.99, 		 1.61, 		 0.33, 		 0.00, 		 0.00, 		 6.64 
		 NW, 		 1.58, 		 4.28, 		 1.28, 		 0.76, 		 0.66, 		 0.69, 		 0.03, 		 9.28 
		 NNW, 		 1.51, 		 5.00, 		 1.32, 		 0.13, 		 0.23, 		 0.13, 		 0.07, 		 8.39 
		 Total,		 25.53,		 44.54,		 15.07,		 8.52, 		 4.31, 		 1.81, 		 0.23, 		 ? 
